idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
2,344.0849304199219,233.5746612548828,1722443389850.083,1.1102230246251565e-16,0.65,0.7200000000000001
2,344.0026550292969,233.6077423095703,1722443389850.085,1.1102230246251565e-16,0.65,0.7200000000000001
2,343.9481201171875,233.61573791503906,1722443389850.085,1.1102230246251565e-16,0.65,0.7200000000000001
2,343.9258728027344,233.61305236816406,1722443389850.085,1.1102230246251565e-16,0.65,0.7200000000000001
2,343.9255676269531,233.6078338623047,1722443389850.085,1.1102230246251565e-16,0.65,0.7200000000000001
3,379.6440734863281,160.10765075683594,1722443391586.918,0.11,0.65,0.75
3,379.6440734863281,160.0880126953125,1722443391586.921,0.15,0.65,0.75
3,379.6440734863281,160.04208374023438,1722443391586.925,0.18,0.65,0.75
3,379.6440734863281,159.9827880859375,1722443391586.935,0.22999999999999998,0.65,0.75
3,379.6440734863281,159.93927001953125,1722443391586.937,0.32999999999999996,0.65,0.75
3,379.6440734863281,159.9227752685547,1722443391586.941,0.38999999999999996,0.65,0.75
3,379.6440734863281,159.9258270263672,1722443391586.95,0.43999999999999995,0.65,0.75
3,379.6440734863281,159.93316650390625,1722443391586.955,0.5399999999999999,0.65,0.75
3,379.6440734863281,159.937255859375,1722443391586.959,0.57,0.65,0.75
3,379.6440734863281,159.9377899169922,1722443391586.967,0.6,0.65,0.75
3,379.6440734863281,159.9372100830078,1722443391586.967,0.63,0.65,0.75
3,379.6440734863281,159.9368133544922,1722443391586.971,0.65,0.65,0.75
3,379.664306640625,159.66836547851562,1722443391586.975,0.67,0.65,0.75
3,379.71160888671875,159.0406951904297,1722443391586.984,0.6900000000000001,0.65,0.75
3,379.7626037597656,158.23025512695312,1722443391586.987,0.7200000000000001,0.65,0.75
3,379.7837829589844,157.63552856445312,1722443391586.991,0.7400000000000001,0.65,0.75
3,379.7601013183594,157.41012573242188,1722443391586.998,0.7500000000000001,0.65,0.75
3,379.71087646484375,157.4518280029297,1722443391586.999,0.7500000000000001,0.65,0.75
3,379.6547546386719,157.572265625,1722443391587.003,0.7600000000000001,0.65,0.75
3,379.607421875,157.6849822998047,1722443391587.009,0.7600000000000001,0.65,0.75
3,379.56329345703125,157.78578186035156,1722443391587.017,0.7600000000000001,0.65,0.75
3,379.5227966308594,157.8948211669922,1722443391587.017,0.7600000000000001,0.65,0.75
3,379.4786071777344,158.0336456298828,1722443391587.021,0.7600000000000001,0.65,0.75
3,379.4263610839844,158.2287139892578,1722443391587.025,0.7600000000000001,0.65,0.75
3,379.3585205078125,158.51473999023438,1722443391587.033,0.7600000000000001,0.65,0.75
3,379.27679443359375,158.9078369140625,1722443391587.033,0.7500000000000001,0.65,0.75
3,379.18731689453125,159.42135620117188,1722443391587.037,0.7500000000000001,0.65,0.75
3,379.08721923828125,160.05250549316406,1722443391587.041,0.7500000000000001,0.65,0.75
3,378.9659423828125,160.91201782226562,1722443391587.05,0.7500000000000001,0.65,0.75
3,378.8160095214844,162.04086303710938,1722443391587.053,0.7500000000000001,0.65,0.75
3,378.6544494628906,163.37631225585938,1722443391587.06,0.7500000000000001,0.65,0.75
3,378.4881286621094,164.90121459960938,1722443391587.067,0.7500000000000001,0.65,0.75
3,378.31683349609375,166.59718322753906,1722443391587.071,0.7500000000000001,0.65,0.75
3,378.13427734375,168.38250732421875,1722443391587.075,0.7500000000000001,0.65,0.75
3,377.947509765625,170.1008758544922,1722443391587.083,0.7600000000000001,0.65,0.75
3,377.7646179199219,171.67950439453125,1722443391587.084,0.7600000000000001,0.65,0.75
3,377.5794372558594,173.16177368164062,1722443391587.087,0.7600000000000001,0.65,0.75
3,377.3853759765625,174.6281280517578,1722443391587.091,0.7600000000000001,0.65,0.75
3,377.1747741699219,176.12200927734375,1722443391587.095,0.7600000000000001,0.65,0.75
3,376.95721435546875,177.63442993164062,1722443391587.099,0.7600000000000001,0.65,0.75
3,376.7456359863281,179.14356994628906,1722443391587.103,0.7700000000000001,0.65,0.75
3,376.55194091796875,180.62425231933594,1722443391587.107,0.7700000000000001,0.65,0.75
3,376.36431884765625,182.0752716064453,1722443391587.114,0.7700000000000001,0.65,0.75
